group,source,res_pc,colname,unit,format,description
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<Area_2d_CPROPS_90pc>,"pc2",".3e","Flux-weighted mean CPROPS cloud area (2d projected) @ 90 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<Sigma_mol_CPROPS_90pc>,"Msun pc-2",".3e","Flux-weighted mean CPROPS cloud surface density @ 90 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<vdisp_mol_CPROPS_90pc>,"km s-1",".3e","Flux-weighted mean CPROPS cloud velocity dispersion @ 90 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<P_turb_sph_CPROPS_90pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 90 pc (sphere)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<P_turb_r3d_CPROPS_90pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 90 pc (spheroid)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<alpha_vir_sph_CPROPS_90pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 90 pc (sphere)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<alpha_vir_r3d_CPROPS_90pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 90 pc (spheroid)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<t_ff_sph^-1_CPROPS_90pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud free-fall time (sphere) @ 90 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<t_ff_r3d^-1_CPROPS_90pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud free-fall time (spheroid) @ 90 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<t_cross_sph^-1_CPROPS_90pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud crossing time (sphere) @ 90 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<t_cross_r3d^-1_CPROPS_90pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud crossing time (spheroid) @ 90 pc"

CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,N_obj_CPROPS_120pc,"1",".0f","Number of CPROPS clouds in aperture @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<M_mol_CPROPS_120pc>,"Msun",".3e","Flux-weighted mean CPROPS cloud mass @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<R_2d_CPROPS_120pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius (2d projected) @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<R_3d_CPROPS_120pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius (3d spheroid) @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<Area_2d_CPROPS_120pc>,"pc2",".3e","Flux-weighted mean CPROPS cloud area (2d projected) @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<Sigma_mol_CPROPS_120pc>,"Msun pc-2",".3e","Flux-weighted mean CPROPS cloud surface density @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<vdisp_mol_CPROPS_120pc>,"km s-1",".3e","Flux-weighted mean CPROPS cloud velocity dispersion @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<P_turb_sph_CPROPS_120pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 120 pc (sphere)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<P_turb_r3d_CPROPS_120pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 120 pc (spheroid)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<alpha_vir_sph_CPROPS_120pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 120 pc (sphere)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<alpha_vir_r3d_CPROPS_120pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 120 pc (spheroid)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<t_ff_sph^-1_CPROPS_120pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud free-fall time (sphere) @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<t_ff_r3d^-1_CPROPS_120pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud free-fall time (spheroid) @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<t_cross_sph^-1_CPROPS_120pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud crossing time (sphere) @ 120 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,120,F<t_cross_r3d^-1_CPROPS_120pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud crossing time (spheroid) @ 120 pc"

CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,N_obj_CPROPS_150pc,"1",".0f","Number of CPROPS clouds in aperture @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<M_mol_CPROPS_150pc>,"Msun",".3e","Flux-weighted mean CPROPS cloud mass @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<R_2d_CPROPS_150pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius (2d projected) @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<R_3d_CPROPS_150pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius (3d spheroid) @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<Area_2d_CPROPS_150pc>,"pc2",".3e","Flux-weighted mean CPROPS cloud area (2d projected) @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<Sigma_mol_CPROPS_150pc>,"Msun pc-2",".3e","Flux-weighted mean CPROPS cloud surface density @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<vdisp_mol_CPROPS_150pc>,"km s-1",".3e","Flux-weighted mean CPROPS cloud velocity dispersion @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<P_turb_sph_CPROPS_150pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 150 pc (sphere)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<P_turb_r3d_CPROPS_150pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 150 pc (spheroid)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<alpha_vir_sph_CPROPS_150pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 150 pc (sphere)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<alpha_vir_r3d_CPROPS_150pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 150 pc (spheroid)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<t_ff_sph^-1_CPROPS_150pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud free-fall time (sphere) @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<t_ff_r3d^-1_CPROPS_150pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud free-fall time (spheroid) @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<t_cross_sph^-1_CPROPS_150pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud crossing time (sphere) @ 150 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,150,F<t_cross_r3d^-1_CPROPS_150pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud crossing time (spheroid) @ 150 pc"

env_frac,IRAC:env_mask:center&ALMA:CO:mom0:broad,0,frac_CO21_center,"1",".3f","Fraction of CO21 flux in the central region"
env_frac,IRAC:env_mask:bars&ALMA:CO:mom0:broad,0,frac_CO21_bars,"1",".3f","Fraction of CO21 flux in the bar region"
env_frac,IRAC:env_mask:rings&ALMA:CO:mom0:broad,0,frac_CO21_rings,"1",".3f","Fraction of CO21 flux in the ring region"
env_frac,IRAC:env_mask:lenses&ALMA:CO:mom0:broad,0,frac_CO21_lenses,"1",".3f","Fraction of CO21 flux in the lense region"
env_frac,IRAC:env_mask:sp_arms&ALMA:CO:mom0:broad,0,frac_CO21_sp_arms,"1",".3f","Fraction of CO21 flux in the spiral arm region"
env_frac,IRAC:env_mask:center&Halpha:SFR:HaONLY,0,frac_Ha_center,"1",".3f","[Preliminary] Fraction of Halpha flux in the central region"
env_frac,IRAC:env_mask:bars&Halpha:SFR:HaONLY,0,frac_Ha_bars,"1",".3f","[Preliminary] Fraction of Halpha flux in the bar region"
env_frac,IRAC:env_mask:rings&Halpha:SFR:HaONLY,0,frac_Ha_rings,"1",".3f","[Preliminary] Fraction of Halpha flux in the ring region"
env_frac,IRAC:env_mask:lenses&Halpha:SFR:HaONLY,0,frac_Ha_lenses,"1",".3f","[Preliminary] Fraction of Halpha flux in the lense region"
env_frac,IRAC:env_mask:sp_arms&Halpha:SFR:HaONLY,0,frac_Ha_sp_arms,"1",".3f","[Preliminary] Fraction of Halpha flux in the spiral arm region"
