group,source,res_pc,colname,unit,format,description
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,fcorr_clumping_CO21_60pc,"1",".3e","Completeness correction on CO clumping factor @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,clumping_CO21_60pc,"1",".3e","Clumping factor of CO21 emission @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,A<T_peak_pix_60pc>,"K",".3e","Area-weighted mean CO line peak temperature @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<T_peak_pix_60pc>,"K",".3e","Flux-weighted mean CO line peak temperature @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<Sigma_mol_pix_60pc>,"Msun pc-2",".3e","Flux-weighted mean molecular gas surface density @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<vdisp_mol_pix_60pc>,"km s-1",".3e","Flux-weighted mean molecular gas velocity dispersion @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<P_turb_sph_pix_60pc>,"K cm-3",".3e","Flux-weighted mean molecular gas turbulent pressure (sphere) @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<P_turb_r3d_pix_60pc>,"K cm-3",".3e","Flux-weighted mean molecular gas turbulent pressure (spheroid) @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<P_selfg_sph_pix_60pc>,"K cm-3",".3e","Flux-weighted mean molecular gas weight due to self-gravity (sphere) @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<P_selfg_r3d_pix_60pc>,"K cm-3",".3e","Flux-weighted mean molecular gas weight due to self-gravity (spheroid) @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<alpha_vir_sph_pix_60pc>,"1",".3e","Flux-weighted mean molecular gas virial parameter (sphere) @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<alpha_vir_r3d_pix_60pc>,"1",".3e","Flux-weighted mean molecular gas virial parameter (spheroid) @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<t_ff_sph^-1_pix_60pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of free-fall time (sphere) @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<t_ff_r3d^-1_pix_60pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of free-fall time (spheroid) @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<t_cross_sph^-1_pix_60pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of crossing time (sphere) @ 60 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,60,F<t_cross_r3d^-1_pix_60pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of crossing time (spheroid) @ 60 pc"

CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,fracA_CO21_90pc,"1",".3f","Area filling factor of CO21 detection @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,fracF_CO21_90pc,"1",".3f","Flux completeness of CO21 detection @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,fcorr_I_CO21_90pc,"1",".3e","Completeness correction on flux-weighted mean CO intensity @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,fcorr_clumping_CO21_90pc,"1",".3e","Completeness correction on CO clumping factor @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,clumping_CO21_90pc,"1",".3e","Clumping factor of CO21 emission @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,A<T_peak_pix_90pc>,"K",".3e","Area-weighted mean CO line peak temperature @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<T_peak_pix_90pc>,"K",".3e","Flux-weighted mean CO line peak temperature @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<Sigma_mol_pix_90pc>,"Msun pc-2",".3e","Flux-weighted mean molecular gas surface density @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<vdisp_mol_pix_90pc>,"km s-1",".3e","Flux-weighted mean molecular gas velocity dispersion @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<P_turb_sph_pix_90pc>,"K cm-3",".3e","Flux-weighted mean molecular gas turbulent pressure (sphere) @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<P_turb_r3d_pix_90pc>,"K cm-3",".3e","Flux-weighted mean molecular gas turbulent pressure (spheroid) @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<P_selfg_sph_pix_90pc>,"K cm-3",".3e","Flux-weighted mean molecular gas weight due to self-gravity (sphere) @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<P_selfg_r3d_pix_90pc>,"K cm-3",".3e","Flux-weighted mean molecular gas weight due to self-gravity (spheroid) @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<alpha_vir_sph_pix_90pc>,"1",".3e","Flux-weighted mean molecular gas virial parameter (sphere) @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<alpha_vir_r3d_pix_90pc>,"1",".3e","Flux-weighted mean molecular gas virial parameter (spheroid) @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<t_ff_sph^-1_pix_90pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of free-fall time (sphere) @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<t_ff_r3d^-1_pix_90pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of free-fall time (spheroid) @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<t_cross_sph^-1_pix_90pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of crossing time (sphere) @ 90 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,90,F<t_cross_r3d^-1_pix_90pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of crossing time (spheroid) @ 90 pc"

